[header]
width=20
height=20
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../../../../../OutFromEden Art/Tiles/Tile Sheets/tiles.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,61,61,17,0,0,0,0,0,0,0,0,0,0,0,0,9,61,61,50,
50,0,0,9,9,0,0,0,0,0,0,0,0,0,0,17,9,0,0,50,
50,0,0,0,9,17,9,9,9,9,17,9,9,9,9,9,0,0,0,50,
50,61,61,0,0,0,0,17,33,17,9,33,9,0,0,0,0,61,61,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
50,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,50,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
12,12,12,12,4,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12

